Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Wed,2,9:55-10:50,TCS-408,Programming in Java,Dr. Amit Kumar,LT-5
Thu,4,12:05-1:00,TCS-408,Programming in Java,Dr. Amit Kumar,LT-1
Tue,4,12:05-1:00,TCS-408,Programming in Java,Dr. Amit Kumar,LT-2
Sat,4,12:05-1:00,TCS-408,Programming in Java,Dr. Amit Kumar,LT-6
Fri,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Mon,6,1:55-2:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-1
Sat,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Wed,4,12:05-1:00,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Fri,5,1:00-1:55,TCS-403,Microprocessors,Dr. Gourav Verma,LT-1
Mon,5,1:00-1:55,TCS-403,Microprocessors,Dr. Gourav Verma,LT-2
Thu,2,9:55-10:50,TCS-403,Microprocessors,Dr. Gourav Verma,LT-2
Tue,3,11:10-12:05,TCS-403,Microprocessors,Dr. Gourav Verma,LT-2
Thu,0,8:00-8:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Tue,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Sat,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-5
Tue,1,9:00-9:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Thu,5,1:00-1:55,PCS-409,DAA Lab,Ms. Meenakshi Maindola & Ms. Isha Deshmukh,Lab-2
Sat,2,9:55-10:50,PCS-409,DAA Lab,Ms. Meenakshi Maindola & Ms. Isha Deshmukh,Lab-1
Wed,1,9:00-9:55,PCS-408,Java Lab,Dr. Amit Kumar & Ms. Simran,Lab-2
Fri,0,8:00-8:55,PCS-408,Java Lab,Dr. Amit Kumar & Ms. Simran,Lab-1
Tue,2,9:55-10:50,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-2
Tue,0,8:00-8:55,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-1
