Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Tue,1,9:00-9:55,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-1
Thu,0,8:00-8:55,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-5
Mon,4,12:05-1:00,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-6
Wed,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Deepak Asrani,LT-6
Mon,0,8:00-8:55,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-5
Mon,3,11:10-12:05,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-6
Fri,3,11:10-12:05,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-5
Tue,4,12:05-1:00,TCS-403,Microprocessors,Dr. Vikas Tripathi,LT-5
Fri,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-5
Mon,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-6
Mon,2,9:55-10:50,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-8
Fri,0,8:00-8:55,TCS-409,Design and Analysis of Algorithms,Dr. Sribidhya Mohanty,LT-2
Tue,2,9:55-10:50,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-6
Wed,1,9:00-9:55,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-2
Thu,3,11:10-12:05,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-5
Thu,6,1:55-2:50,PCS-409,DAA Lab,Dr. Hradesh Kumar,LT-2
Wed,6,1:55-2:50,PCS-408,Java Lab,Dr. Hradesh Kumar,Lab-2
Thu,2,9:55-10:50,PCS-408,Java Lab,Dr. Hradesh Kumar,Lab-5
Wed,5,1:00-1:55,PCS-403,Microprocessors Lab,Dr. Deepak Asrani,Lab-5
Mon,1,9:00-9:55,PCS-403,Microprocessors Lab,Dr. Deepak Asrani,Lab-1
Sat,1,9:00-9:55,,,Dr. Sribidhya Mohanty,Lab-5
Fri,6,1:55-2:50,,,Dr. Sribidhya Mohanty,Lab-2
