Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Tue,0,8:00-8:55,TCS-408,Programming in Java,Dr. Amit Kumar,LT-2
Tue,6,1:55-2:50,TCS-408,Programming in Java,Dr. Amit Kumar,LT-5
Fri,6,1:55-2:50,TCS-408,Programming in Java,Dr. Amit Kumar,LT-2
Wed,6,1:55-2:50,TCS-408,Programming in Java,Dr. Amit Kumar,Lab-2
Wed,4,12:05-1:00,TCS-402,Finite Automata and Formal Languages,Dr. Piyush Agarwal,LT-2
Fri,3,11:10-12:05,TCS-402,Finite Automata and Formal Languages,Dr. Piyush Agarwal,LT-2
Thu,0,8:00-8:55,TCS-402,Finite Automata and Formal Languages,Dr. Piyush Agarwal,LT-2
Thu,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Piyush Agarwal,LT-2
Mon,2,9:55-10:50,TCS-403,Microprocessors,Dr. Mridul Gupta,LT-2
Mon,1,9:00-9:55,TCS-403,Microprocessors,Dr. Mridul Gupta,LT-5
Thu,4,12:05-1:00,TCS-403,Microprocessors,Dr. Mridul Gupta,LT-2
Thu,6,1:55-2:50,TCS-403,Microprocessors,Dr. Mridul Gupta,LT-2
Thu,3,11:10-12:05,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Sat,1,9:00-9:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,Lab-1
Wed,1,9:00-9:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Sat,6,1:55-2:50,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,Lab-1
Sat,3,11:10-12:05,PCS-409,DAA Lab,Ms. Meenakshi Maindola & Ms. Isha Deshmukh,Lab-1
Mon,3,11:10-12:05,PCS-409,DAA Lab,Ms. Meenakshi Maindola & Ms. Isha Deshmukh,Lab-2
Tue,5,1:00-1:55,PCS-408,Java Lab,Dr. Vidit & Mr. Navneet,Lab-1
Wed,5,1:00-1:55,PCS-408,Java Lab,Dr. Vidit & Mr. Navneet,Lab-1
Fri,2,9:55-10:50,PCS-403,Microprocessors Lab,Dr. Mridul Gupta,Lab-1
Fri,1,9:00-9:55,PCS-403,Microprocessors Lab,Dr. Mridul Gupta,Lab-2
