Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Mon,4,12:05-1:00,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-5
Wed,2,9:55-10:50,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-2
Tue,6,1:55-2:50,TCS-408,Programming in Java,Mr. Kireet Joshi,LT-1
Mon,5,1:00-1:55,TCS-408,Programming in Java,Mr. Kireet Joshi,Lab-1
Thu,6,1:55-2:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-5
Fri,5,1:00-1:55,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,Lab-2
Sat,0,8:00-8:55,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-5
Mon,1,9:00-9:55,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Wed,0,8:00-8:55,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-5
Wed,3,11:10-12:05,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-2
Sat,3,11:10-12:05,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-5
Mon,0,8:00-8:55,TCS-403,Microprocessors,Dr. Pradeep Juneja,LT-5
Fri,4,12:05-1:00,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-1
Thu,1,9:00-9:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-2
Wed,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,LT-5
Thu,4,12:05-1:00,TCS-409,Design and Analysis of Algorithms,Ms. Meenakshi Maindola,Lab-2
Sat,5,1:00-1:55,PCS-409,DAA Lab,Mr. Kuldeep Nautiyal & Mr. Priyanshu Rawat,Lab-2
Mon,2,9:55-10:50,PCS-409,DAA Lab,Mr. Kuldeep Nautiyal & Mr. Priyanshu Rawat,Lab-2
Fri,0,8:00-8:55,PCS-408,Java Lab,Mr. Kireet Joshi & Mr. Akash Chaudhary,Lab-1
Tue,3,11:10-12:05,PCS-408,Java Lab,Mr. Kireet Joshi & Mr. Akash Chaudhary,Lab-2
Tue,4,12:05-1:00,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-2
Fri,6,1:55-2:50,PCS-403,Microprocessors Lab,Dr. Gourav Verma,Lab-1
